started_at,resolved_at,market_id,side,duration_ms,tau_at_start_sec
2026-07-30T07:05:40.306Z,2026-07-30T07:05:40.705Z,btc5m1785394907013,no,399,66.7
2026-07-30T07:05:43.130Z,2026-07-30T07:05:43.531Z,btc5m1785394904162,yes,401,61.0
2026-07-30T07:05:43.130Z,2026-07-30T07:05:43.531Z,btc5m1785394904162,no,401,61.0
2026-07-30T07:05:43.130Z,2026-07-30T07:05:43.531Z,btc5m1785394907013,yes,401,63.9
2026-07-30T07:05:43.130Z,2026-07-30T07:05:43.531Z,btc5m1785394907013,no,401,63.9
2026-07-30T07:05:46.751Z,2026-07-30T07:05:48.760Z,btc5m1785394904162,no,2009,57.4
2026-07-30T07:05:46.751Z,2026-07-30T07:05:48.760Z,btc5m1785394907013,yes,2009,60.3
2026-07-30T07:05:46.751Z,2026-07-30T07:05:49.161Z,btc5m1785394904162,yes,2410,57.4
2026-07-30T07:05:46.751Z,2026-07-30T07:05:49.161Z,btc5m1785394907013,no,2410,60.3
2026-07-30T07:05:55.185Z,2026-07-30T07:05:55.975Z,btc5m1785394904162,yes,790,49.0
2026-07-30T07:05:55.185Z,2026-07-30T07:05:55.975Z,btc5m1785394904162,no,790,49.0
2026-07-30T07:06:04.819Z,2026-07-30T07:06:10.830Z,btc5m1785394904162,yes,6011,39.3
2026-07-30T07:06:04.819Z,2026-07-30T07:06:11.243Z,btc5m1785394904162,no,6424,39.3
2026-07-30T07:06:52.259Z,2026-07-30T07:06:53.861Z,btc5m1785395204193,yes,1602,291.9
2026-07-30T07:06:52.259Z,2026-07-30T07:06:53.861Z,btc5m1785395204193,no,1602,291.9
2026-07-30T07:06:52.259Z,2026-07-30T07:06:54.345Z,btc5m1785395209988,yes,2086,297.7
2026-07-30T07:06:52.659Z,2026-07-30T07:06:54.345Z,btc5m1785395209988,no,1686,297.3
2026-07-30T07:06:55.874Z,2026-07-30T07:06:56.267Z,btc5m1785395209988,yes,393,294.1
2026-07-30T07:06:55.874Z,2026-07-30T07:06:56.267Z,btc5m1785395209988,no,393,294.1
2026-07-30T07:07:25.158Z,2026-07-30T07:07:29.179Z,btc5m1785395209988,no,4021,264.8
2026-07-30T07:07:25.158Z,2026-07-30T07:07:29.582Z,btc5m1785395209988,yes,4424,264.8
2026-07-30T07:07:25.158Z,2026-07-30T07:07:31.574Z,btc5m1785395204193,yes,6416,259.0
2026-07-30T07:07:25.158Z,2026-07-30T07:07:31.574Z,btc5m1785395204193,no,6416,259.0
2026-07-30T07:07:36.002Z,2026-07-30T07:07:37.601Z,btc5m1785395209988,yes,1599,254.0
2026-07-30T07:07:35.608Z,2026-07-30T07:07:37.601Z,btc5m1785395209988,no,1993,254.4
2026-07-30T07:07:36.002Z,2026-07-30T07:07:38.002Z,btc5m1785395204193,yes,2000,248.2
2026-07-30T07:07:35.608Z,2026-07-30T07:07:38.002Z,btc5m1785395204193,no,2394,248.6
2026-07-30T07:07:46.829Z,2026-07-30T07:07:47.630Z,btc5m1785395204193,yes,801,237.4
2026-07-30T07:07:46.829Z,2026-07-30T07:07:47.630Z,btc5m1785395204193,no,801,237.4
2026-07-30T07:07:46.829Z,2026-07-30T07:07:47.630Z,btc5m1785395209988,yes,801,243.2
2026-07-30T07:07:46.829Z,2026-07-30T07:07:47.630Z,btc5m1785395209988,no,801,243.2
2026-07-30T07:07:56.862Z,2026-07-30T07:08:00.479Z,btc5m1785395204193,no,3617,227.3
2026-07-30T07:07:56.862Z,2026-07-30T07:08:00.479Z,btc5m1785395209988,yes,3617,233.1
2026-07-30T07:07:56.862Z,2026-07-30T07:08:00.869Z,btc5m1785395204193,yes,4007,227.3
2026-07-30T07:07:56.862Z,2026-07-30T07:08:00.869Z,btc5m1785395209988,no,4007,233.1
2026-07-30T07:08:02.069Z,2026-07-30T07:08:02.468Z,btc5m1785395204193,yes,399,222.1
2026-07-30T07:08:02.069Z,2026-07-30T07:08:02.468Z,btc5m1785395204193,no,399,222.1
2026-07-30T07:08:02.069Z,2026-07-30T07:08:02.868Z,btc5m1785395209988,yes,799,227.9
2026-07-30T07:08:02.069Z,2026-07-30T07:08:02.868Z,btc5m1785395209988,no,799,227.9
2026-07-30T07:08:08.484Z,2026-07-30T07:08:12.511Z,btc5m1785395204193,yes,4027,215.7
2026-07-30T07:08:08.484Z,2026-07-30T07:08:12.511Z,btc5m1785395204193,no,4027,215.7
2026-07-30T07:08:08.484Z,2026-07-30T07:08:12.511Z,btc5m1785395209988,yes,4027,221.5
2026-07-30T07:08:08.484Z,2026-07-30T07:08:12.511Z,btc5m1785395209988,no,4027,221.5
2026-07-30T07:08:14.545Z,2026-07-30T07:08:15.332Z,btc5m1785395204193,yes,787,209.6
2026-07-30T07:08:14.545Z,2026-07-30T07:08:15.332Z,btc5m1785395204193,no,787,209.6
2026-07-30T07:08:14.545Z,2026-07-30T07:08:15.332Z,btc5m1785395209988,yes,787,215.4
2026-07-30T07:08:14.545Z,2026-07-30T07:08:15.332Z,btc5m1785395209988,no,787,215.4
